,Accuracy,Loss
School Non-grouped,0.3573120915032679,1.9686957667855656
School Grouped,0.6177287581699346,0.899004694293527
Type Encoding,0.6530433006535947,1.0285879478735083
Timeframe Non-grouped,0.4574550653594771,1.4710648410460527
Timeframe Grouped,0.6327205882352941,0.9470861519084257
